cid,molecular_formula,molecular_weight,x_log_p,h_bond_donor_count,h_bond_acceptor_count,lipinski,casrn,id,casregno,uid,exp,chem_name,def,uvcb,flag,activity
97053,C11H13NO4,223.22,1.8,1,4,TRUE,39608-31-6,28096,39608316,NA,NA,"Glycine, N-methyl-N-[(phenylmethoxy)carbonyl]-",NA,NA,NA,INACTIVE
44151922,C20H33N2NaO7-2,436.5,NA,0,8,FALSE,206886-68-2,66119,206886682,NA,NA,"Glycine, N-[2-[bis(carboxymethyl)amino]ethyl]-N-(1-oxododecyl)-, sodium salt (1:?)",NA,NA,PMN; 5E,INACTIVE
73557378,C20H35N2NaO7,438.5,NA,2,8,FALSE,206886-68-2,66119,206886682,NA,NA,"Glycine, N-[2-[bis(carboxymethyl)amino]ethyl]-N-(1-oxododecyl)-, sodium salt (1:?)",NA,NA,PMN; 5E,INACTIVE
173125,C33H38O7,546.6,NA,5,7,FALSE,68892-00-2,48597,68892002,NA,NA,"Benzoic acid, 2-hydroxy-, polymer with 4-(1,1-dimethylethyl)phenol, formaldehyde and 4,4'-(1-methylethylidene)bis[phenol]",NA,NA,XU,ACTIVE
21159,C6H12O,100.16,1.1,0,1,TRUE,5076-20-0,12974,5076200,NA,NA,"Oxirane, 2,2,3,3-tetramethyl-",NA,NA,NA,INACTIVE
12339,C5H12S,104.22,2.1,0,1,TRUE,628-29-5,6496,628295,NA,NA,"Butane, 1-(methylthio)-",NA,NA,NA,ACTIVE
13589,C4H8O2,88.11,-0.2,0,2,FALSE,930-37-0,7461,930370,NA,NA,"Oxirane, 2-(methoxymethyl)-",NA,NA,NA,ACTIVE
113224,C10H22IN,283.19,NA,1,1,FALSE,63451-00-3,33198,63451003,NA,NA,"Piperidine, 1,2,2,6,6-pentamethyl-, hydriodide (1:1)",NA,NA,NA,INACTIVE
110464,C11H10N2O2,202.21,2.7,0,3,TRUE,68527-68-4,45048,68527684,NA,NA,"Quinoline, 5,6-dimethyl-8-nitro-",NA,NA,NA,INACTIVE
109272,C36H71Br4O4P,918.5,16.3,1,4,FALSE,68298-31-7,41521,68298317,NA,NA,"1-Octadecanol, 9,10-dibromo-, 1,1'-(hydrogen phosphate)",NA,NA,NA,INACTIVE
14741,C26H47O3P,438.6,10.9,0,3,FALSE,1254-78-0,8154,1254780,NA,NA,"Phosphorous acid, didecyl phenyl ester",NA,NA,NA,ACTIVE
171968,C14H21N3O7S,375.4,NA,6,8,FALSE,67893-17-8,37474,67893178,NA,NA,"Benzenesulfonic acid, hydroxy-, polymer with formaldehyde, phenol and urea, ammonium salt",NA,NA,XU,ACTIVE
14855,C7H7ClO,142.58,2.8,1,1,TRUE,1570-64-5,8829,1570645,NA,NA,"Phenol, 4-chloro-2-methyl-",NA,NA,NA,ACTIVE
21118956,C10H14O3S,214.28,1.6,0,3,TRUE,63549-11-1,33340,63549111,NA,NA,"1,2-Benzoxathiin, 5,6,7,8-tetrahydro-4,7-dimethyl-, 2,2-dioxide",NA,NA,NA,INACTIVE
11067475,C20H14N2O3,330.3,4.6,3,5,TRUE,101904-51-2,61773,101904512,NA,NA,"3-Acridinecarboxylic acid, 9,10-dihydro-9-oxo-2-(phenylamino)-",NA,NA,PMN,INACTIVE
6914518,Ag3As,398.526,NA,0,0,FALSE,12417-99-1,18150,12417991,NA,NA,Arsenargentite (Ag3As),NA,NA,NA,INACTIVE
11875,C7H4ClNO3,185.56,2.4,0,3,TRUE,610-14-0,6021,610140,NA,NA,"Benzoyl chloride, 2-nitro-",NA,NA,NA,ACTIVE
6441739,C20H26N2O4,358.4,NA,2,5,FALSE,68015-76-9,38573,68015769,NA,NA,"2-Propenoic acid, 2-methyl-, polymer with ethenylbenzene, ethyl 2-propenoate and 2-propenenitrile, ammonium salt",NA,NA,XU,INACTIVE
23741,C16H32O,240.42,7.3,0,1,FALSE,7320-37-8,14826,7320378,NA,NA,"Oxirane, 2-tetradecyl-",NA,NA,NA,ACTIVE
1672,C4H11NO,89.14,-0.5,1,2,FALSE,5332-73-0,13160,5332730,NA,NA,"1-Propanamine, 3-methoxy-",NA,NA,NA,ACTIVE
3482402,C10H15Cl2NO2,252.13,2.4,0,2,TRUE,71526-07-3,54617,71526073,NA,NA,"Ethanone, 2,2-dichloro-1-(1-oxa-4-azaspiro[4.5]dec-4-yl)-",NA,NA,PMN; S; 5E,INACTIVE
7039,C9H12O3,168.19,0.7,3,3,TRUE,91-04-3,1481,91043,NA,NA,"1,3-Benzenedimethanol, 2-hydroxy-5-methyl-",NA,NA,NA,ACTIVE
38235,C9H18N2O2S,218.32,2.2,1,4,TRUE,39196-18-4,27955,39196184,NA,NA,"2-Butanone, 3,3-dimethyl-1-(methylthio)-, O-[(methylamino)carbonyl]oxime",NA,NA,NA,ACTIVE
5364932,C9H18N2O2S,218.32,2.2,1,4,TRUE,39196-18-4,27955,39196184,NA,NA,"2-Butanone, 3,3-dimethyl-1-(methylthio)-, O-[(methylamino)carbonyl]oxime",NA,NA,NA,ACTIVE
5361043,C9H18N2O2S,218.32,2.2,1,4,TRUE,39196-18-4,27955,39196184,NA,NA,"2-Butanone, 3,3-dimethyl-1-(methylthio)-, O-[(methylamino)carbonyl]oxime",NA,NA,NA,ACTIVE
89087,C24H18ClN3O3,431.9,6.6,2,5,FALSE,21889-27-0,21868,21889270,NA,NA,"2-Naphthalenecarboxamide, 4-[2-(3-chlorophenyl)diazenyl]-3-hydroxy-N-(2-methoxyphenyl)-",NA,NA,NA,ACTIVE
85234,C7H8O3S,172.2,1.8,0,4,TRUE,16003-16-0,20079,16003160,NA,NA,"Acetic acid, 2-(2-furanylthio)-, methyl ester",NA,NA,NA,INACTIVE
20026291,C17H19NO6,333.3,3.5,0,6,TRUE,71172-14-0,54098,71172140,NA,NA,"Benzene, 1,2-dimethoxy-4-[1-(4-methoxyphenoxy)ethyl]-5-nitro-",NA,NA,NA,INACTIVE
23960,Th,232.038,NA,0,0,FALSE,7440-29-1,14990,7440291,NA,NA,Thorium,NA,NA,NA,ACTIVE
76150,C12H14O4,222.24,1.8,0,4,TRUE,2881-83-6,10590,2881836,NA,NA,"Benzenepropanoic acid, 4-methoxy-.beta.-oxo-, ethyl ester",NA,NA,NA,INACTIVE
89413,C57H59ClO8,907.5,NA,0,7,FALSE,21016-22-8,21693,21016228,NA,NA,"1-Benzopyrylium, 8-[5-[6,7-dihydro-2,4-bis[4-(pentyloxy)phenyl]-5H-1-benzopyran-8-yl]-2,4-pentadien-1-ylidene]-5,6,7,8-tetrahydro-2,4-diphenyl-, perchlorate (1:1)",NA,NA,NA,INACTIVE
6627,C12H10Cl2Si,253.19,NA,0,0,FALSE,80-10-4,695,80104,NA,NA,"Benzene, 1,1'-(dichlorosilylene)bis-",NA,NA,NA,ACTIVE
10167209,C14H18K5N3O10,583.8,NA,0,13,FALSE,7216-95-7,14771,7216957,NA,NA,"Glycine, N,N-bis[2-[bis(carboxymethyl)amino]ethyl]-, potassium salt (1:5)",NA,NA,PMN,ACTIVE
92018038,C14H23KN3O10,432.44,NA,5,13,FALSE,7216-95-7,14771,7216957,NA,NA,"Glycine, N,N-bis[2-[bis(carboxymethyl)amino]ethyl]-, potassium salt (1:5)",NA,NA,PMN,ACTIVE
