Name,SMILES,formula,MONOISOTOPIC_MASS,MolecularWeight,LogP,Fragpos,Fragneg,CAS,Plate_ID,DTXSID,EPA_Name,EPA_CAS
1-Chloro-4-nitrobenzene,C1=CC(=CC=C1[N+](=O)[O-])Cl,C6H4ClNO2,156.9930561,157.55,1.61,"130.97686,0.4;86.9996,2.43;39.02293,15.47;51.02293,100;72.98395,22.59;84.98395,67.21;98.02365,37.88;129.96903,19.94","129.97013,1.24330858228285;34.9694,100;45.99345,35.2270764980142",100-00-5,EPAPLT0069,DTXSID5020281,,
4-Nitroaniline,C1=CC(=CC=C1N)[N+](=O)[O-],C6H6N2O2,138.0429274,138.12,0.541,"138.04238,0.58;121.03964,3.76;38.0151,20.3;39.02293,93.22;51.02293,100;52.01818,80.91;53.026,20.99;54.03383,17.39;63.02293,17.8;64.01818,16.76;64.03075,24.22;66.03383,28.45;68.01309,29.28;69.02092,38.77;70.02874,33.22;72.008,70.02;86.02365,36.65;90.03383,19.04","0,100;",100-01-6,EPAPLT0064,DTXSID8020961,4-Nitrobenzenamine,100-01-6
4-Nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O,C6H5NO3,139.026943,139.11,0.952,"139.02639,53.9620287013103;51.02293,100;63.02293,42.9093502094661;64.03075,58.8733398698636;79.01784,40.0303057313486;86.02365,24.422854086817;110.02365,7.55860593635796;111.03148,55.9319012389696;38.0151,39.8876905250022;39.02293,43.3193689277119;49.00728,27.8010517871468;53.00219,21.1159639896604;55.01784,36.8927711917283;67.01784,38.4882788127284;72.008,15.6787592477048;77.00219,14.2971744362243;85.01583,15.4915767893752;98.02365,13.1829931366432","112.00402,4.23405553860238;41.00329,100;110.02475,16.3487946292341;137.01184,17.2490082392432;45.99345,31.0955141898078;65.00329,34.6353371986573",100-02-7,EPAPLT0061,DTXSID3027320,Sodium 4-nitrophenolate,824-78-2
4-Nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O,C6H5NO3,139.026943,139.11,0.952,"139.02639,53.9620287013103;51.02293,100;63.02293,42.9093502094661;64.03075,58.8733398698636;79.01784,40.0303057313486;86.02365,24.422854086817;110.02365,7.55860593635796;111.03148,55.9319012389696;38.0151,39.8876905250022;39.02293,43.3193689277119;49.00728,27.8010517871468;53.00219,21.1159639896604;55.01784,36.8927711917283;67.01784,38.4882788127284;72.008,15.6787592477048;77.00219,14.2971744362243;85.01583,15.4915767893752;98.02365,13.1829931366432","112.00402,4.23405553860238;41.00329,100;110.02475,16.3487946292341;137.01184,17.2490082392432;45.99345,31.0955141898078;65.00329,34.6353371986573",100-02-7,EPAPLT0068,DTXSID0021834,,
alpha-Cyclodextrin,C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(O2)C(C7O)O)CO)CO)CO)CO)CO)O)O)O,C36H60O30,972.3169405,972.8,-11.796,"955.31365,100;4.4864,0.58964552238806;941.298,19.8942786069652","953.2991,100;1.3079,0.917909150184742",10016-20-3,EPAPLT0070,DTXSID7030698,,
"N,N-Diethylethanolamine",CCN(CC)CCO,C6H15NO,117.1153641,117.19,0.2,"100.11208,100;86.09643,3.00333333333333;45.03349,12.2366666666667;58.06513,11.22;72.08078,19.88","98.09752,64.2131570461142;43.01894,100;84.08187,23.5004837149307;96.08187,44.7839406643018;114.09244,17.4943566591422;42.03492,24.2824895195098;44.05057,13.1812318606901;68.05057,9.061593034505;70.06622,18.5585295066108;72.08187,18.9535633666559",100-37-8,EPAPLT0060,DTXSID5021837,,
Docusate,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,C20H38O7S,422.2338247,422.6,5.04,"57.06988,52.8425690885579;113.13248,100;265.11042,5.46003161070933;311.1159,22.5250251448824;393.19415,7.16509411370277;405.23054,1.63321998179989;43.05423,33.6270894199914;59.08553,6.88251353034149;73.06479,7.44767469706404;83.08553,9.00426265625748;99.11683,11.7199099573734;109.10118,12.8502322908185;111.11683,25.9064131423919;115.11174,9.04257866756071;115.14813,16.0927247473538;131.14304,17.5822596867666;141.09101,3.9417596628191;157.12231,30.6097035298625;159.13796,8.22357392595431;171.13796,4.7559749030126;180.98014,7.42851669141242;267.12607,4.70807988888357;281.06895,4.66497437616744;293.10534,12.1222280760573;295.12099,3.46759902294171;299.15229,4.85176493127066;309.10025,16.5429378801667;315.1472,3.70707409358686;381.19415,4.55960534508358;395.2098,6.00603477178026;421.22545,5.79529670961253;55.05423,27.0032089659466;71.08553,8.57799703050912;79.05423,13.913501604483;81.06988,13.7027635423152;87.08044,6.15929881699315;95.08553,4.44465731117391;107.08553,6.30298385938024","80.96519,33.6109801456336;127.11284,17.1355230761171;129.12849,100;134.97575,39.4887107758395;136.9914,25.3287233485253;150.97067,80.7114044737807;169.1234,4.03373670700403;249.08022,2.5040599298025;251.09587,9.16758342500917;263.05948,6.80496621090681;263.09587,11.8497564042118;265.11152,81.025721619781;291.09078,23.987636858924;293.10643,11.4411441144114;299.15338,18.2513489444183;309.10135,12.0907328828121;41.00329,14.1757032846142;139.00705,10.6343967730106;152.98632,52.6219288595526;155.00197,19.3619361936194;157.01762,5.13908533710514;159.03327,3.34223898580334;162.97067,2.62454816910262;178.96558,19.5033789093195;223.06457,10.6605898685107;235.06457,17.6489077479176;237.08022,4.997642621405;267.12717,3.83990780030384;269.14282,2.57740059720258;271.15847,7.31835088270732;295.12208,3.11173974540311;315.1483,4.71999580910472;391.1796,7.81601969720782;99.08154,7.15071507150715;99.11792,11.037770443711;101.09719,13.4737283252135;106.98084,12.8398554141128;108.99649,27.7489653727277;111.01214,7.26596469170727;111.11792,11.7397454031117;113.13357,20.01676358112;127.07645,5.23338048090523;141.0227,5.54245900780554;164.98632,5.44816386400545;180.98123,8.88993661270889;185.01253,5.45864110220546;221.04892,12.986536748913;229.14453,11.7973702132118;267.0544,6.67400073340667",10041-19-7,EPAPLT0068,DTXSID8022959,Docusate sodium,577-11-7
Boric acid,B(O)(O)O,BH3O3,62.0175241,61.84,-1.401,"45.01424,100","42.99968,100;17.00329,0.127898341447314",10043-35-3,EPAPLT0068,DTXSID1020194,,
Benzyl alcohol,C1=CC=C(C=C1)CO,C7H8O,108.0575149,108.14,0.593,"91.05423,100;79.05423,9.23333333333333;65.03858,31.5333333333333","77.03967,100;51.02402,1.33666666666667",100-51-6,EPAPLT0069,DTXSID5020152,,
3-Pyridinecarbonitrile,C1=CC(=CN=C1)C#N,C6H4N2,104.0374481,104.11,-0.4,"78.03383,38.307330253639;76.01818,100;51.02293,55.1381504401639;64.01818,16.2206920596182","77.01452,1.29008477699963;50.00362,100;52.01927,67.4437891632879;74.00362,55.8145963877626;76.01927,70.2819756726871",100-54-9,EPAPLT0064,DTXSID1026665,,
