cid,molecular_formula,molecular_weight,x_log_p,h_bond_donor_count,h_bond_acceptor_count,lipinski,query,cns_drug,smiles
441300,C14H18N6O,286.33,0.9,3,6,TRUE,Abacavir,FALSE,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1
16131215,C72H95ClN14O14,1416.1,3.7,13,16,FALSE,Abarelix,FALSE,NA
132971,C24H31NO,349.5,4.6,1,2,TRUE,Abiraterone,FALSE,CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@@]4(C)C(CC=C4C4=CN=CC=C4)C3CC=C2C1
71158,C5H11NO4S,181.21,-1.2,2,4,TRUE,Acamprosate,TRUE,CC(=O)NCCCS(O)(=O)=O
41774,C25H43NO18,645.6,-8.5,14,19,FALSE,Acarbose,FALSE,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O
444254,C25H43NO18,645.6,-8.5,14,19,FALSE,Acarbose,FALSE,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O
4432690,C25H43NO18,645.6,-8.5,14,19,FALSE,Acarbose,FALSE,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O
441184,C25H43NO18,645.6,-8.5,14,19,FALSE,Acarbose,FALSE,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O
445421,C25H43NO18,645.6,-8.5,14,19,FALSE,Acarbose,FALSE,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O
18397995,C25H43NO18,645.6,-8.5,14,19,FALSE,Acarbose,FALSE,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O
122172882,C25H43NO18,645.6,-8.5,14,19,FALSE,Acarbose,FALSE,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O
129010024,C25H43NO18,645.6,-8.5,14,19,FALSE,Acarbose,FALSE,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O
134694648,C25H43NO18,645.6,-8.5,14,19,FALSE,Acarbose,FALSE,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O
163284948,C25H43NO18,645.6,-8.5,14,19,FALSE,Acarbose,FALSE,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O
1978,C18H28N2O4,336.4,1.7,3,5,TRUE,Acebutolol,FALSE,CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1
54676537,C19H15NO6,353.3,2.5,1,6,TRUE,Acenocoumarol,FALSE,CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O
6077,C19H22N2OS,326.5,4.2,0,4,TRUE,Acepromazine,FALSE,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O
26035,C19H22N2OS,326.5,4.3,0,4,TRUE,Aceprometazine,FALSE,CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C
1983,C8H9NO2,151.16,0.5,2,2,TRUE,Acetaminophen,TRUE,CC(=O)NC1=CC=C(O)C=C1
1986,C4H6N4O3S2,222.3,-0.3,2,7,TRUE,Acetazolamide,FALSE,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
176,C2H4O2,60.05,-0.2,1,2,FALSE,Acetic acid,FALSE,CC([O-])=O
1989,C15H20N2O4S,324.4,2.4,2,4,TRUE,Acetohexamide,FALSE,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
1990,C2H5NO2,75.07,-1.6,2,2,FALSE,Acetohydroxamic Acid,FALSE,CC(=O)NO
17676,C23H29N3O2S,411.6,2.6,1,6,TRUE,Acetophenazine,FALSE,CC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1
12035,C5H9NO3S,163.2,0.4,3,4,TRUE,Acetylcysteine,FALSE,CC(=O)N[C@@H](CS)C(O)=O
5284512,C43H66O14,807,2.8,4,14,FALSE,Acetyldigitoxin,FALSE,[H][C@@]1(CC[C@]2(O)[C@]3([H])CC[C@]4([H])C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](OC(C)=O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)C1=CC(=O)OC1
2244,C9H8O4,180.16,1.2,1,4,TRUE,Acetylsalicylic acid,FALSE,CC(=O)OC1=CC=CC=C1C(O)=O
5284513,C21H26O3,326.4,6.1,1,3,FALSE,Acitretin,FALSE,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1
11434515,C26H30NO4S2+,484.7,4.7,1,6,TRUE,Aclidinium,FALSE,[Br-].OC(C(=O)OC1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1
135398513,C8H11N5O3,225.2,-1.9,3,5,TRUE,Acyclovir,FALSE,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2
60164,C28H28O3,412.5,7.7,1,3,FALSE,Adapalene,FALSE,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
60871,C20H32N5O8P,501.5,1.8,1,12,FALSE,Adefovir Dipivoxil,FALSE,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C
190,C5H5N5,135.13,-0.1,2,4,TRUE,Adenine,FALSE,NC1=C2NC=NC2=NC=N1
60961,C10H13N5O4,267.24,-1.1,4,8,TRUE,Adenosine,FALSE,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
6083,C10H14N5O7P,347.22,-3.5,5,11,FALSE,Adenosine monophosphate,FALSE,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
5957,C10H16N5O13P3,507.18,-5.7,7,17,FALSE,Adenosine triphosphate,FALSE,NC1=C2N=CN([C@@H]3O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
37632,C19H18ClN5,351.8,1.6,0,4,TRUE,Adinazolam,FALSE,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
10184653,C24H25ClFN5O3,485.9,3.6,2,8,TRUE,Afatinib,FALSE,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1
52918379,C50H78N4O14,959.2,NA,8,16,FALSE,Agalsidase beta,FALSE,NA
82148,C15H17NO2,243.3,2.7,1,2,TRUE,Agomelatine,FALSE,COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1
6100671,C20H26N2O2,326.4,1.8,2,4,TRUE,Ajmaline,FALSE,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@]44C[C@@H](C2[C@H]4O)N3[C@@H]1O
2082,C12H15N3O2S,265.33,2.9,2,4,TRUE,Albendazole,FALSE,CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2
19371515,C19H21N3O,307.4,1.7,0,3,TRUE,Alcaftadine,FALSE,CN1CCC(CC1)=C1C2=NC=C(C=O)N2CCC2=CC=CC=C12
5311000,C22H29ClO5,408.9,2.2,3,5,TRUE,Alclometasone,FALSE,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
2088,C4H13NO7P2,249.1,-6.5,6,8,FALSE,Alendronate,FALSE,NCCCC(O)(P(O)(O)=O)P(O)(O)=O
5282181,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
5284515,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
2091,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
5283718,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
443990,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
5283723,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
46780105,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
145705856,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
45073394,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
134688803,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
