name,smiles,formula,molecular_weight,log_p,fragneg,cas,dtxsid
1-Chloro-4-nitrobenzene,C1=CC(=CC=C1[N+](=O)[O-])Cl,C6H4ClNO2,157.55,1.61,"129.97013,1.24330858228285;34.9694,100;45.99345,35.2270764980142",100-00-5,DTXSID5020281
4-Nitroaniline,C1=CC(=CC=C1N)[N+](=O)[O-],C6H6N2O2,138.12,0.541,"0,100;",100-01-6,DTXSID8020961
4-Nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O,C6H5NO3,139.11,0.952,"112.00402,4.23405553860238;41.00329,100;110.02475,16.3487946292341;137.01184,17.2490082392432;45.99345,31.0955141898078;65.00329,34.6353371986573",100-02-7,DTXSID3027320
4-Nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O,C6H5NO3,139.11,0.952,"112.00402,4.23405553860238;41.00329,100;110.02475,16.3487946292341;137.01184,17.2490082392432;45.99345,31.0955141898078;65.00329,34.6353371986573",100-02-7,DTXSID0021834
alpha-Cyclodextrin,C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(O2)C(C7O)O)CO)CO)CO)CO)CO)O)O)O,C36H60O30,972.8,-11.796,"953.2991,100;1.3079,0.917909150184742",10016-20-3,DTXSID7030698
"N,N-Diethylethanolamine",CCN(CC)CCO,C6H15NO,117.19,0.2,"98.09752,64.2131570461142;43.01894,100;84.08187,23.5004837149307;96.08187,44.7839406643018;114.09244,17.4943566591422;42.03492,24.2824895195098;44.05057,13.1812318606901;68.05057,9.061593034505;70.06622,18.5585295066108;72.08187,18.9535633666559",100-37-8,DTXSID5021837
Docusate,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,C20H38O7S,422.6,5.04,"80.96519,33.6109801456336;127.11284,17.1355230761171;129.12849,100;134.97575,39.4887107758395;136.9914,25.3287233485253;150.97067,80.7114044737807;169.1234,4.03373670700403;249.08022,2.5040599298025;251.09587,9.16758342500917;263.05948,6.80496621090681;263.09587,11.8497564042118;265.11152,81.025721619781;291.09078,23.987636858924;293.10643,11.4411441144114;299.15338,18.2513489444183;309.10135,12.0907328828121;41.00329,14.1757032846142;139.00705,10.6343967730106;152.98632,52.6219288595526;155.00197,19.3619361936194;157.01762,5.13908533710514;159.03327,3.34223898580334;162.97067,2.62454816910262;178.96558,19.5033789093195;223.06457,10.6605898685107;235.06457,17.6489077479176;237.08022,4.997642621405;267.12717,3.83990780030384;269.14282,2.57740059720258;271.15847,7.31835088270732;295.12208,3.11173974540311;315.1483,4.71999580910472;391.1796,7.81601969720782;99.08154,7.15071507150715;99.11792,11.037770443711;101.09719,13.4737283252135;106.98084,12.8398554141128;108.99649,27.7489653727277;111.01214,7.26596469170727;111.11792,11.7397454031117;113.13357,20.01676358112;127.07645,5.23338048090523;141.0227,5.54245900780554;164.98632,5.44816386400545;180.98123,8.88993661270889;185.01253,5.45864110220546;221.04892,12.986536748913;229.14453,11.7973702132118;267.0544,6.67400073340667",10041-19-7,DTXSID8022959
Boric acid,B(O)(O)O,BH3O3,61.84,-1.401,"42.99968,100;17.00329,0.127898341447314",10043-35-3,DTXSID1020194
Benzyl alcohol,C1=CC=C(C=C1)CO,C7H8O,108.14,0.593,"77.03967,100;51.02402,1.33666666666667",100-51-6,DTXSID5020152
3-Pyridinecarbonitrile,C1=CC(=CN=C1)C#N,C6H4N2,104.11,-0.4,"77.01452,1.29008477699963;50.00362,100;52.01927,67.4437891632879;74.00362,55.8145963877626;76.01927,70.2819756726871",100-54-9,DTXSID1026665
